"""country_name"",""country_text_id"",""country_id"",""year"",""v2x_polyarchy"",""v2x_regime"",""e_boix_regime"",""e_polity2"",""e_regionpol"",""e_regionpol_6C"",""dir_crim"",""ind_crim"",""gmc"",""gmcpr"",""gmcphys"",""gmcpsych"",""gmcdiv"",""nb3g"",""adp_general"",""adp_constitution"",""adp_employment"",""adp_education"",""adp_healthcare"",""adp_housing"",""trip_score"",""trip_percent"",""wb_gdppc"",""lgdppc_wb"",""religiosity_percent"",""no_dircrim"",""no_indcrim"",""nophys"",""nopsych"",""nodiv"""
"Armenia,""ARM"",105,2019,0.799,2,1,NA,1,1,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,4828.50517771789,8.48229217529297,0.986999988555908,1,0,0,0,0"
"Azerbaijan,""AZE"",106,2019,0.193,1,0,NA,1,1,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,4805.75371765917,8.47756958007812,1,1,0,0,0,0"
"Belarus,""BLR"",107,2019,0.263,1,0,NA,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,4,0.307692319154739,6837.71782606351,8.83020973205566,0.71399998664856,1,1,1,0,0"
"Cameroon,""CMR"",108,2019,0.283,1,0,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,1538.68794663506,7.33868551254272,0.947899997234344,1,0,0,0,0"
"Chad,""TCD"",109,2019,0.274,1,0,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,701.621216594764,6.55339384078979,0.975899934768677,1,0,0,0,0"
"China,""CHN"",110,2019,0.076,0,0,NA,6,6,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2,0.15384615957737,10143.8381955585,9.22462177276611,0.481599986553192,1,0,0,0,0"
"Democratic Republic of the Congo,""COD"",111,2019,0.35,1,0,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,575.882790805511,6.35590410232544,0.982900023460388,1,0,0,0,0"
"Republic of the Congo,""COG"",112,2019,0.237,1,0,NA,4,4,0,0,0,2,2,2,2,0,0,0,0,0,0,0,2,0.15384615957737,2288.80813763495,7.73578643798828,0.919000029563904,1,1,0,0,0"
"Djibouti,""DJI"",113,2019,0.256,1,0,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,2876.04366371536,7.96417093276978,1,1,0,0,0,0"
"Dominican Republic,""DOM"",114,2019,0.543,2,1,NA,2,2,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,8173.33800656006,9.00863265991211,0.890999972820282,1,0,0,0,0"
"Eritrea,""ERI"",115,2019,0.069,0,0,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,NA,NA,1,1,0,0,0,0"
"Gabon,""GAB"",116,2019,0.385,1,0,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,7523.8622784598,8.92583465576172,0.943099975585938,1,0,0,0,0"
"The Gambia,""GMB"",117,2019,0.523,2,1,NA,4,4,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,722.874793145171,6.58323621749878,1,0,0,0,0,0"
